x,cp
2.08E-03,6.52E-01
1.90E-03,6.77E-01
1.72E-03,7.02E-01
1.57E-03,7.25E-01
1.42E-03,7.47E-01
1.28E-03,7.69E-01
1.16E-03,7.89E-01
1.04E-03,8.08E-01
9.39E-04,8.26E-01
8.42E-04,8.43E-01
7.53E-04,8.58E-01
6.72E-04,8.73E-01
5.98E-04,8.87E-01
5.31E-04,8.99E-01
4.69E-04,9.11E-01
4.13E-04,9.22E-01
3.63E-04,9.31E-01
3.17E-04,9.40E-01
2.76E-04,9.49E-01
2.39E-04,9.56E-01
2.06E-04,9.63E-01
1.76E-04,9.69E-01
1.50E-04,9.74E-01
1.27E-04,9.79E-01
1.06E-04,9.83E-01
8.77E-05,9.87E-01
7.18E-05,9.91E-01
5.80E-05,9.93E-01
4.60E-05,9.96E-01
3.58E-05,9.98E-01
2.72E-05,1.00E+00
2.00E-05,1.00E+00
1.42E-05,1.00E+00
9.45E-06,1.00E+00
5.82E-06,1.00E+00
3.15E-06,1.01E+00
1.35E-06,1.01E+00
3.24E-07,1.01E+00
0.00E+00,1.01E+00
3.24E-07,1.01E+00
1.35E-06,1.01E+00
3.15E-06,1.01E+00
5.82E-06,1.00E+00
9.45E-06,1.00E+00
1.42E-05,1.00E+00
2.00E-05,1.00E+00
2.72E-05,1.00E+00
3.58E-05,9.98E-01
4.60E-05,9.96E-01
5.80E-05,9.93E-01
7.18E-05,9.91E-01
8.77E-05,9.87E-01
1.06E-04,9.83E-01
1.27E-04,9.79E-01
1.50E-04,9.74E-01
1.76E-04,9.69E-01
2.06E-04,9.63E-01
2.39E-04,9.56E-01
2.76E-04,9.49E-01
3.17E-04,9.40E-01
3.63E-04,9.31E-01
4.13E-04,9.22E-01
4.69E-04,9.11E-01
5.31E-04,8.99E-01
5.98E-04,8.87E-01
6.72E-04,8.73E-01
7.53E-04,8.58E-01
8.42E-04,8.43E-01
9.39E-04,8.26E-01
1.04E-03,8.08E-01
1.16E-03,7.89E-01
1.28E-03,7.69E-01
1.42E-03,7.47E-01
1.57E-03,7.25E-01
1.72E-03,7.02E-01
1.90E-03,6.77E-01
2.08E-03,6.52E-01
2.28E-03,6.26E-01
2.49E-03,5.99E-01
2.72E-03,5.71E-01
2.97E-03,5.42E-01
3.23E-03,5.13E-01
3.52E-03,4.84E-01
3.82E-03,4.54E-01
4.14E-03,4.24E-01
