x,y,u
0.5,0,0
0.5,0.0547,-0.03717
0.5,0.0625,-0.04192
0.5,0.0703,-0.04775
0.5,0.1016,-0.06434
0.5,0.1719,-0.1015
0.5,0.2813,-0.15662
0.5,0.4531,-0.2109
0.5,0.5,-0.20581
0.5,0.6172,-0.13641
0.5,0.7344,0.00332
0.5,0.8516,0.23151
0.5,0.9531,0.68717
0.5,0.9609,0.73722
0.5,0.9688,0.78871
0.5,0.9766,0.84123
0.5,1,1
