x,y,U_x
0.2,1.00E-01,1.01E+00
0.2,9.80E-02,1.01E+00
0.2,9.33E-02,1.01E+00
0.2,8.89E-02,1.01E+00
0.2,8.46E-02,1.01E+00
0.2,8.06E-02,1.01E+00
0.2,7.67E-02,1.01E+00
0.2,7.31E-02,1.01E+00
0.2,6.96E-02,1.01E+00
0.2,6.63E-02,1.01E+00
0.2,6.31E-02,1.01E+00
0.2,6.01E-02,1.01E+00
0.2,5.72E-02,1.01E+00
0.2,5.45E-02,1.01E+00
0.2,5.19E-02,1.01E+00
0.2,4.94E-02,1.01E+00
0.2,4.70E-02,1.01E+00
0.2,4.48E-02,1.01E+00
0.2,4.26E-02,1.01E+00
0.2,4.06E-02,1.01E+00
0.2,3.87E-02,1.01E+00
0.2,3.68E-02,1.01E+00
0.2,3.50E-02,1.01E+00
0.2,3.34E-02,1.01E+00
0.2,3.18E-02,1.01E+00
0.2,3.02E-02,1.01E+00
0.2,2.88E-02,1.01E+00
0.2,2.74E-02,1.01E+00
0.2,2.61E-02,1.01E+00
0.2,2.48E-02,1.01E+00
0.2,2.37E-02,1.01E+00
0.2,2.25E-02,1.01E+00
0.2,2.14E-02,1.01E+00
0.2,2.04E-02,1.01E+00
0.2,1.94E-02,1.01E+00
0.2,1.85E-02,1.01E+00
0.2,1.76E-02,1.01E+00
0.2,1.68E-02,1.01E+00
0.2,1.59E-02,1.01E+00
0.2,1.52E-02,1.01E+00
0.2,1.44E-02,1.01E+00
0.2,1.37E-02,1.01E+00
0.2,1.31E-02,1.01E+00
0.2,1.25E-02,1.01E+00
0.2,1.18E-02,1.01E+00
0.2,1.13E-02,1.01E+00
0.2,1.07E-02,1.01E+00
0.2,1.02E-02,1.01E+00
0.2,9.71E-03,1.01E+00
0.2,9.24E-03,1.01E+00
0.2,8.79E-03,1.00E+00
0.2,8.36E-03,1.00E+00
0.2,7.95E-03,9.96E-01
0.2,7.57E-03,9.89E-01
0.2,7.20E-03,9.80E-01
0.2,6.84E-03,9.68E-01
0.2,6.51E-03,9.54E-01
0.2,6.19E-03,9.38E-01
0.2,5.89E-03,9.20E-01
0.2,5.60E-03,8.99E-01
0.2,5.32E-03,8.77E-01
0.2,5.06E-03,8.52E-01
0.2,4.81E-03,8.27E-01
0.2,4.57E-03,8.00E-01
0.2,4.34E-03,7.73E-01
0.2,4.12E-03,7.45E-01
0.2,3.92E-03,7.17E-01
0.2,3.72E-03,6.88E-01
0.2,3.54E-03,6.60E-01
0.2,3.36E-03,6.32E-01
0.2,3.19E-03,6.05E-01
0.2,3.03E-03,5.78E-01
0.2,2.87E-03,5.51E-01
0.2,2.73E-03,5.26E-01
0.2,2.59E-03,5.01E-01
0.2,2.45E-03,4.77E-01
0.2,2.33E-03,4.54E-01
0.2,2.21E-03,4.32E-01
0.2,2.09E-03,4.10E-01
0.2,1.98E-03,3.89E-01
0.2,1.88E-03,3.70E-01
0.2,1.78E-03,3.51E-01
0.2,1.69E-03,3.33E-01
0.2,1.60E-03,3.15E-01
0.2,1.51E-03,2.99E-01
0.2,1.43E-03,2.83E-01
0.2,1.35E-03,2.68E-01
0.2,1.28E-03,2.53E-01
0.2,1.21E-03,2.39E-01
0.2,1.14E-03,2.26E-01
0.2,1.08E-03,2.14E-01
0.2,1.02E-03,2.02E-01
0.2,9.58E-04,1.90E-01
0.2,9.03E-04,1.79E-01
0.2,8.51E-04,1.69E-01
0.2,8.01E-04,1.59E-01
0.2,7.53E-04,1.50E-01
0.2,7.08E-04,1.41E-01
0.2,6.64E-04,1.32E-01
0.2,6.23E-04,1.24E-01
0.2,5.84E-04,1.16E-01
0.2,5.47E-04,1.09E-01
0.2,5.11E-04,1.02E-01
0.2,4.77E-04,9.49E-02
0.2,4.45E-04,8.84E-02
0.2,4.14E-04,8.23E-02
0.2,3.85E-04,7.65E-02
0.2,3.57E-04,7.10E-02
0.2,3.31E-04,6.57E-02
0.2,3.05E-04,6.07E-02
0.2,2.81E-04,5.59E-02
0.2,2.58E-04,5.14E-02
0.2,2.37E-04,4.70E-02
0.2,2.16E-04,4.29E-02
0.2,1.96E-04,3.90E-02
0.2,1.77E-04,3.52E-02
0.2,1.59E-04,3.16E-02
0.2,1.42E-04,2.82E-02
0.2,1.26E-04,2.50E-02
0.2,1.10E-04,2.19E-02
0.2,9.55E-05,1.90E-02
0.2,8.14E-05,1.62E-02
0.2,6.80E-05,1.35E-02
0.2,5.53E-05,1.10E-02
0.2,4.31E-05,8.57E-03
0.2,3.15E-05,6.27E-03
0.2,2.05E-05,4.08E-03
0.2,1.00E-05,1.99E-03
0.2,0.00E+00,0.00E+00
