x,y,U_x
0.1,1.00000E-01,1.00612E+00
0.1,9.79908E-02,1.00618E+00
0.1,9.33151E-02,1.00633E+00
0.1,8.88620E-02,1.00647E+00
0.1,8.46209E-02,1.00661E+00
0.1,8.05819E-02,1.00675E+00
0.1,7.67351E-02,1.00689E+00
0.1,7.30715E-02,1.00702E+00
0.1,6.95824E-02,1.00716E+00
0.1,6.62594E-02,1.00729E+00
0.1,6.30947E-02,1.00742E+00
0.1,6.00807E-02,1.00754E+00
0.1,5.72102E-02,1.00766E+00
0.1,5.44763E-02,1.00778E+00
0.1,5.18727E-02,1.00790E+00
0.1,4.93930E-02,1.00801E+00
0.1,4.70315E-02,1.00812E+00
0.1,4.47824E-02,1.00822E+00
0.1,4.26403E-02,1.00832E+00
0.1,4.06003E-02,1.00842E+00
0.1,3.86574E-02,1.00852E+00
0.1,3.68071E-02,1.00861E+00
0.1,3.50449E-02,1.00870E+00
0.1,3.33665E-02,1.00878E+00
0.1,3.17681E-02,1.00886E+00
0.1,3.02458E-02,1.00894E+00
0.1,2.87960E-02,1.00902E+00
0.1,2.74153E-02,1.00909E+00
0.1,2.61003E-02,1.00916E+00
0.1,2.48479E-02,1.00922E+00
0.1,2.36551E-02,1.00928E+00
0.1,2.25191E-02,1.00934E+00
0.1,2.14373E-02,1.00940E+00
0.1,2.04069E-02,1.00946E+00
0.1,1.94257E-02,1.00951E+00
0.1,1.84911E-02,1.00956E+00
0.1,1.76010E-02,1.00961E+00
0.1,1.67534E-02,1.00965E+00
0.1,1.59461E-02,1.00970E+00
0.1,1.51772E-02,1.00974E+00
0.1,1.44450E-02,1.00978E+00
0.1,1.37476E-02,1.00981E+00
0.1,1.30834E-02,1.00985E+00
0.1,1.24509E-02,1.00988E+00
0.1,1.18484E-02,1.00992E+00
0.1,1.12747E-02,1.00995E+00
0.1,1.07283E-02,1.00998E+00
0.1,1.02079E-02,1.01000E+00
0.1,9.71229E-03,1.01003E+00
0.1,9.24027E-03,1.01004E+00
0.1,8.79074E-03,1.01004E+00
0.1,8.36261E-03,1.00999E+00
0.1,7.95486E-03,1.00987E+00
0.1,7.56654E-03,1.00958E+00
0.1,7.19670E-03,1.00902E+00
0.1,6.84448E-03,1.00801E+00
0.1,6.50903E-03,1.00631E+00
0.1,6.18955E-03,1.00366E+00
0.1,5.88529E-03,9.99739E-01
0.1,5.59551E-03,9.94221E-01
0.1,5.31953E-03,9.86805E-01
0.1,5.05670E-03,9.77239E-01
0.1,4.80638E-03,9.65340E-01
0.1,4.56798E-03,9.51018E-01
0.1,4.34093E-03,9.34270E-01
0.1,4.12470E-03,9.15187E-01
0.1,3.91876E-03,8.93933E-01
0.1,3.72263E-03,8.70735E-01
0.1,3.53584E-03,8.45862E-01
0.1,3.35794E-03,8.19606E-01
0.1,3.18851E-03,7.92266E-01
0.1,3.02716E-03,7.64139E-01
0.1,2.87348E-03,7.35500E-01
0.1,2.72713E-03,7.06606E-01
0.1,2.58774E-03,6.77684E-01
0.1,2.45499E-03,6.48932E-01
0.1,2.32856E-03,6.20520E-01
0.1,2.20815E-03,5.92587E-01
0.1,2.09348E-03,5.65247E-01
0.1,1.98427E-03,5.38592E-01
0.1,1.88025E-03,5.12689E-01
0.1,1.78119E-03,4.87591E-01
0.1,1.68685E-03,4.63331E-01
0.1,1.59700E-03,4.39931E-01
0.1,1.51143E-03,4.17402E-01
0.1,1.42993E-03,3.95746E-01
0.1,1.35232E-03,3.74957E-01
0.1,1.27840E-03,3.55023E-01
0.1,1.20800E-03,3.35929E-01
0.1,1.14095E-03,3.17653E-01
0.1,1.07710E-03,3.00174E-01
0.1,1.01628E-03,2.83467E-01
0.1,9.58363E-04,2.67508E-01
0.1,9.03203E-04,2.52268E-01
0.1,8.50670E-04,2.37722E-01
0.1,8.00638E-04,2.23843E-01
0.1,7.52988E-04,2.10603E-01
0.1,7.07608E-04,1.97977E-01
0.1,6.64388E-04,1.85938E-01
0.1,6.23227E-04,1.74461E-01
0.1,5.84026E-04,1.63522E-01
0.1,5.46691E-04,1.53096E-01
0.1,5.11135E-04,1.43161E-01
0.1,4.77271E-04,1.33694E-01
0.1,4.45020E-04,1.24674E-01
0.1,4.14305E-04,1.16080E-01
0.1,3.85052E-04,1.07893E-01
0.1,3.57193E-04,1.00094E-01
0.1,3.30660E-04,9.26650E-02
0.1,3.05390E-04,8.55882E-02
0.1,2.81324E-04,7.88472E-02
0.1,2.58404E-04,7.24264E-02
0.1,2.36575E-04,6.63107E-02
0.1,2.15786E-04,6.04855E-02
0.1,1.95986E-04,5.49373E-02
0.1,1.77130E-04,4.96529E-02
0.1,1.59171E-04,4.46199E-02
0.1,1.42068E-04,3.98262E-02
0.1,1.25779E-04,3.52606E-02
0.1,1.10266E-04,3.09121E-02
0.1,9.54911E-05,2.67706E-02
0.1,8.14201E-05,2.28262E-02
0.1,6.80191E-05,1.90695E-02
0.1,5.52563E-05,1.54916E-02
0.1,4.31013E-05,1.20840E-02
0.1,3.15250E-05,8.83852E-03
0.1,2.05000E-05,5.74755E-03
0.1,1.00000E-05,2.80371E-03
0.1,0.00000E+00,0.00000E+00
