x,y,U_x
0.5,1.00E-01,1.01E+00
0.5,9.80E-02,1.01E+00
0.5,9.33E-02,1.01E+00
0.5,8.89E-02,1.01E+00
0.5,8.46E-02,1.01E+00
0.5,8.06E-02,1.01E+00
0.5,7.67E-02,1.01E+00
0.5,7.31E-02,1.01E+00
0.5,6.96E-02,1.01E+00
0.5,6.63E-02,1.01E+00
0.5,6.31E-02,1.01E+00
0.5,6.01E-02,1.01E+00
0.5,5.72E-02,1.01E+00
0.5,5.45E-02,1.01E+00
0.5,5.19E-02,1.01E+00
0.5,4.94E-02,1.01E+00
0.5,4.70E-02,1.01E+00
0.5,4.48E-02,1.01E+00
0.5,4.26E-02,1.01E+00
0.5,4.06E-02,1.01E+00
0.5,3.87E-02,1.01E+00
0.5,3.68E-02,1.01E+00
0.5,3.50E-02,1.01E+00
0.5,3.34E-02,1.01E+00
0.5,3.18E-02,1.01E+00
0.5,3.02E-02,1.01E+00
0.5,2.88E-02,1.01E+00
0.5,2.74E-02,1.01E+00
0.5,2.61E-02,1.01E+00
0.5,2.48E-02,1.01E+00
0.5,2.37E-02,1.01E+00
0.5,2.25E-02,1.01E+00
0.5,2.14E-02,1.01E+00
0.5,2.04E-02,1.01E+00
0.5,1.94E-02,1.01E+00
0.5,1.85E-02,1.01E+00
0.5,1.76E-02,1.01E+00
0.5,1.68E-02,1.01E+00
0.5,1.59E-02,1.01E+00
0.5,1.52E-02,1.01E+00
0.5,1.44E-02,1.01E+00
0.5,1.37E-02,1.01E+00
0.5,1.31E-02,1.00E+00
0.5,1.25E-02,9.96E-01
0.5,1.18E-02,9.89E-01
0.5,1.13E-02,9.79E-01
0.5,1.07E-02,9.68E-01
0.5,1.02E-02,9.54E-01
0.5,9.71E-03,9.37E-01
0.5,9.24E-03,9.19E-01
0.5,8.79E-03,8.98E-01
0.5,8.36E-03,8.76E-01
0.5,7.95E-03,8.52E-01
0.5,7.57E-03,8.27E-01
0.5,7.20E-03,8.00E-01
0.5,6.84E-03,7.73E-01
0.5,6.51E-03,7.46E-01
0.5,6.19E-03,7.18E-01
0.5,5.89E-03,6.90E-01
0.5,5.60E-03,6.62E-01
0.5,5.32E-03,6.35E-01
0.5,5.06E-03,6.08E-01
0.5,4.81E-03,5.81E-01
0.5,4.57E-03,5.55E-01
0.5,4.34E-03,5.30E-01
0.5,4.12E-03,5.06E-01
0.5,3.92E-03,4.83E-01
0.5,3.72E-03,4.60E-01
0.5,3.54E-03,4.38E-01
0.5,3.36E-03,4.17E-01
0.5,3.19E-03,3.97E-01
0.5,3.03E-03,3.77E-01
0.5,2.87E-03,3.59E-01
0.5,2.73E-03,3.41E-01
0.5,2.59E-03,3.24E-01
0.5,2.45E-03,3.07E-01
0.5,2.33E-03,2.92E-01
0.5,2.21E-03,2.77E-01
0.5,2.09E-03,2.63E-01
0.5,1.98E-03,2.49E-01
0.5,1.88E-03,2.36E-01
0.5,1.78E-03,2.24E-01
0.5,1.69E-03,2.12E-01
0.5,1.60E-03,2.01E-01
0.5,1.51E-03,1.90E-01
0.5,1.43E-03,1.80E-01
0.5,1.35E-03,1.70E-01
0.5,1.28E-03,1.61E-01
0.5,1.21E-03,1.52E-01
0.5,1.14E-03,1.44E-01
0.5,1.08E-03,1.36E-01
0.5,1.02E-03,1.28E-01
0.5,9.58E-04,1.21E-01
0.5,9.03E-04,1.14E-01
0.5,8.51E-04,1.07E-01
0.5,8.01E-04,1.01E-01
0.5,7.53E-04,9.49E-02
0.5,7.08E-04,8.92E-02
0.5,6.64E-04,8.37E-02
0.5,6.23E-04,7.85E-02
0.5,5.84E-04,7.36E-02
0.5,5.47E-04,6.89E-02
0.5,5.11E-04,6.44E-02
0.5,4.77E-04,6.01E-02
0.5,4.45E-04,5.61E-02
0.5,4.14E-04,5.22E-02
0.5,3.85E-04,4.85E-02
0.5,3.57E-04,4.50E-02
0.5,3.31E-04,4.17E-02
0.5,3.05E-04,3.85E-02
0.5,2.81E-04,3.55E-02
0.5,2.58E-04,3.26E-02
0.5,2.37E-04,2.98E-02
0.5,2.16E-04,2.72E-02
0.5,1.96E-04,2.47E-02
0.5,1.77E-04,2.23E-02
0.5,1.59E-04,2.01E-02
0.5,1.42E-04,1.79E-02
0.5,1.26E-04,1.58E-02
0.5,1.10E-04,1.39E-02
0.5,9.55E-05,1.20E-02
0.5,8.14E-05,1.03E-02
0.5,6.80E-05,8.57E-03
0.5,5.53E-05,6.96E-03
0.5,4.31E-05,5.43E-03
0.5,3.15E-05,3.97E-03
0.5,2.05E-05,2.58E-03
0.5,1.00E-05,1.26E-03
0.5,0.00E+00,0.00E+00
