x,y,U_x
0.3,1.00000E-01,1.00993E+00
0.3,9.79908E-02,1.00998E+00
0.3,9.33151E-02,1.01010E+00
0.3,8.88620E-02,1.01021E+00
0.3,8.46209E-02,1.01032E+00
0.3,8.05819E-02,1.01042E+00
0.3,7.67351E-02,1.01051E+00
0.3,7.30715E-02,1.01060E+00
0.3,6.95824E-02,1.01069E+00
0.3,6.62594E-02,1.01076E+00
0.3,6.30947E-02,1.01083E+00
0.3,6.00807E-02,1.01090E+00
0.3,5.72102E-02,1.01096E+00
0.3,5.44763E-02,1.01102E+00
0.3,5.18727E-02,1.01108E+00
0.3,4.93930E-02,1.01113E+00
0.3,4.70315E-02,1.01118E+00
0.3,4.47824E-02,1.01122E+00
0.3,4.26403E-02,1.01126E+00
0.3,4.06003E-02,1.01130E+00
0.3,3.86574E-02,1.01134E+00
0.3,3.68071E-02,1.01137E+00
0.3,3.50449E-02,1.01140E+00
0.3,3.33665E-02,1.01143E+00
0.3,3.17681E-02,1.01146E+00
0.3,3.02458E-02,1.01148E+00
0.3,2.87960E-02,1.01150E+00
0.3,2.74153E-02,1.01153E+00
0.3,2.61003E-02,1.01155E+00
0.3,2.48479E-02,1.01157E+00
0.3,2.36551E-02,1.01158E+00
0.3,2.25191E-02,1.01160E+00
0.3,2.14373E-02,1.01162E+00
0.3,2.04069E-02,1.01163E+00
0.3,1.94257E-02,1.01165E+00
0.3,1.84911E-02,1.01166E+00
0.3,1.76010E-02,1.01167E+00
0.3,1.67534E-02,1.01168E+00
0.3,1.59461E-02,1.01168E+00
0.3,1.51772E-02,1.01166E+00
0.3,1.44450E-02,1.01161E+00
0.3,1.37476E-02,1.01147E+00
0.3,1.30834E-02,1.01118E+00
0.3,1.24509E-02,1.01062E+00
0.3,1.18484E-02,1.00962E+00
0.3,1.12747E-02,1.00796E+00
0.3,1.07283E-02,1.00538E+00
0.3,1.02079E-02,1.00157E+00
0.3,9.71229E-03,9.96226E-01
0.3,9.24027E-03,9.89062E-01
0.3,8.79074E-03,9.79834E-01
0.3,8.36261E-03,9.68370E-01
0.3,7.95486E-03,9.54578E-01
0.3,7.56654E-03,9.38454E-01
0.3,7.19670E-03,9.20079E-01
0.3,6.84448E-03,8.99605E-01
0.3,6.50903E-03,8.77243E-01
0.3,6.18955E-03,8.53245E-01
0.3,5.88529E-03,8.27888E-01
0.3,5.59551E-03,8.01456E-01
0.3,5.31953E-03,7.74228E-01
0.3,5.05670E-03,7.46472E-01
0.3,4.80638E-03,7.18432E-01
0.3,4.56798E-03,6.90329E-01
0.3,4.34093E-03,6.62356E-01
0.3,4.12470E-03,6.34679E-01
0.3,3.91876E-03,6.07436E-01
0.3,3.72263E-03,5.80741E-01
0.3,3.53584E-03,5.54684E-01
0.3,3.35794E-03,5.29336E-01
0.3,3.18851E-03,5.04749E-01
0.3,3.02716E-03,4.80960E-01
0.3,2.87348E-03,4.57995E-01
0.3,2.72713E-03,4.35865E-01
0.3,2.58774E-03,4.14575E-01
0.3,2.45499E-03,3.94121E-01
0.3,2.32856E-03,3.74495E-01
0.3,2.20815E-03,3.55683E-01
0.3,2.09348E-03,3.37666E-01
0.3,1.98427E-03,3.20425E-01
0.3,1.88025E-03,3.03937E-01
0.3,1.78119E-03,2.88178E-01
0.3,1.68685E-03,2.73124E-01
0.3,1.59700E-03,2.58748E-01
0.3,1.51143E-03,2.45026E-01
0.3,1.42993E-03,2.31931E-01
0.3,1.35232E-03,2.19439E-01
0.3,1.27840E-03,2.07524E-01
0.3,1.20800E-03,1.96162E-01
0.3,1.14095E-03,1.85330E-01
0.3,1.07710E-03,1.75003E-01
0.3,1.01628E-03,1.65160E-01
0.3,9.58363E-04,1.55779E-01
0.3,9.03203E-04,1.46839E-01
0.3,8.50670E-04,1.38321E-01
0.3,8.00638E-04,1.30204E-01
0.3,7.52988E-04,1.22470E-01
0.3,7.07608E-04,1.15102E-01
0.3,6.64388E-04,1.08083E-01
0.3,6.23227E-04,1.01396E-01
0.3,5.84026E-04,9.50260E-02
0.3,5.46691E-04,8.89580E-02
0.3,5.11135E-04,8.31778E-02
0.3,4.77271E-04,7.76719E-02
0.3,4.45020E-04,7.24274E-02
0.3,4.14305E-04,6.74320E-02
0.3,3.85052E-04,6.26738E-02
0.3,3.57193E-04,5.81418E-02
0.3,3.30660E-04,5.38251E-02
0.3,3.05390E-04,4.97136E-02
0.3,2.81324E-04,4.57975E-02
0.3,2.58404E-04,4.20676E-02
0.3,2.36575E-04,3.85151E-02
0.3,2.15786E-04,3.51316E-02
0.3,1.95986E-04,3.19090E-02
0.3,1.77130E-04,2.88396E-02
0.3,1.59171E-04,2.59163E-02
0.3,1.42068E-04,2.31320E-02
0.3,1.25779E-04,2.04802E-02
0.3,1.10266E-04,1.79546E-02
0.3,9.54911E-05,1.55492E-02
0.3,8.14201E-05,1.32582E-02
0.3,6.80191E-05,1.10762E-02
0.3,5.52563E-05,8.99805E-03
0.3,4.31013E-05,7.01880E-03
0.3,3.15250E-05,5.13375E-03
0.3,2.05000E-05,3.33841E-03
0.3,1.00000E-05,1.62851E-03
0.3,0.00000E+00,0.00000E+00
